,개인,외국인,기관,금융투자,보험,투신,은행
2024-11-18 05:17:30.395257,1595293508476.9146,-1820633670034.5361,149014245903.3698,172800762996.9123,103629866666.96875,21100788948.248276,13321870938.501076
2024-11-19 05:17:30.395257,571652333902.2399,-710661253617.3364,-41479290351.3554,21030433712.030426,60708709637.101494,34666421407.31105,-29205600610.035873
2024-11-20 05:17:30.395257,-33841863621.56067,-323218941596.9633,194306561430.20773,109567365712.25993,7583177210.565075,98656361665.39682,19043927720.180916
2024-11-21 05:17:30.395257,367193427576.73004,-819293889832.9994,456908956922.40753,108049280801.84537,111171968056.35196,96426858855.95424,22132618200.170704
2024-11-22 05:17:30.395257,-526117657575.90234,622335920165.0514,-70246012417.0008,814214463.0581055,10652306830.736784,-10019270870.381088,-35814936938.96023
2024-11-25 05:17:30.395257,887217278305.5874,-907407853731.2742,-70241087084.75417,-21375883534.541386,-1014529125.7554798,-76127974680.2211,19782732734.905716
2024-11-26 05:17:30.395257,922242275.1612244,-410826841049.6413,473763844652.21747,311416190510.8678,67237511238.172485,17808893544.06398,8996360696.64989
2024-11-27 05:17:30.395257,-272480682964.47327,-123901742008.29533,230230418745.87262,10463393665.492615,12464915352.271954,19273327594.147507,-4693527802.993988
2024-11-28 05:17:30.395257,-398662845015.7712,532897180931.52515,-140842315780.48563,-192611043509.1176,-29446166705.66939,-51601957475.037,-3030731844.4054246
2024-11-29 05:17:30.395257,620268339089.4087,-904137972141.4438,162768013075.7894,202976093178.76398,91190053578.12611,15066636812.096107,31111147642.363773
2024-12-02 05:17:30.395257,-323065849512.0413,396907546575.5641,-139025307843.73868,-87370700091.9087,-625053839.026123,-18021299931.705444,-27267701771.75487
2024-12-03 05:17:30.395257,322484025145.0322,-178025231942.31375,-139718926071.07706,-15681285905.383781,-46474501818.520706,5526798807.174984,-5752349306.5944195
2024-12-04 05:17:30.395257,513733502928.06885,-672363520926.2743,72588681469.81024,46385046494.93227,53102671826.37929,7363363317.516975,12205764080.101973
2024-12-05 05:17:30.395257,484553410195.2119,50975108779.14492,-573984073397.3394,-341414830088.8291,-257223945710.97162,-61772528818.29081,-14837091524.604088
2024-12-06 05:17:30.395257,697118844191.3009,-79014213515.94698,-517475349753.9098,-216656829254.74612,-46056784932.17679,-74397581722.58046,-22344936382.15099
2024-12-09 05:17:30.395257,588117004652.2478,-477119932832.27094,-168686258772.2918,-152816228085.11246,-120722940693.36334,-124076267133.53732,-15774869720.281036
2024-12-10 05:17:30.395257,527996432014.897,-140577884708.05566,-303849336100.32715,-172697523966.09796,-78891914290.22205,-92544170105.98679,-31744271217.990753
2024-12-11 05:17:30.395257,159358273339.79282,-366603158584.1368,94274199778.58215,10336990996.645042,-37128654775.59076,6936752180.70655,6436587649.856603
2024-12-12 05:17:30.395257,441042760925.7158,-115655120477.82426,-272407222656.36328,-206893956337.04953,-119215518317.31795,-101345820540.50987,-35063141372.530304
2024-12-13 05:17:30.395257,407663861259.49396,160184111206.88348,-423691110400.5874,-285131878587.2164,-26696882711.19152,-33557230060.277878,-79611565189.92152
2024-12-16 05:17:30.395257,-1310518829758.0398,623659749068.8446,439694630676.4662,286030155569.251,64553866069.69868,142491736218.6548,30715927616.97667
2024-12-17 05:17:30.395257,774767205966.3606,-786723841367.4475,-67732890145.9607,-88514596253.92415,3778616057.343649,50778159062.971725,14692052314.425873
2024-12-18 05:17:30.395257,-862784411112.242,900233162423.9187,20258461406.37715,137730689401.17838,1705663337.316227,-7633374335.553826,-46245725640.517914
2024-12-19 05:17:30.395257,1547914774875.3945,-1140794857615.657,-427424455864.037,-345915403740.37256,-61632849811.65133,10422638462.89206,-41565836887.400604
2024-12-20 05:17:30.395257,439540343017.075,-239110938322.38934,-163314817357.5548,-116676054830.6688,-28821868918.498196,-17063849743.527641,4217344352.2262135
2024-12-23 05:17:30.395257,-226148075072.04086,132472779487.49898,33276776912.959827,-24007039679.6416,-57494255826.83652,-11862782018.957994,42813748239.88197
2024-12-24 05:17:30.395257,373614374811.4454,-19657322837.464516,-345298073226.69086,-62481055500.641205,-19246273672.98118,-82464844161.05061,-16849029507.826387
2024-12-25 05:17:30.395257,341693320522.5598,-469970449565.46936,112709405503.70158,87281120953.37842,-2145948057.325306,1782926501.1488209,-8924588549.39761
2024-12-26 05:17:30.395257,558119060925.6238,-261149247784.0016,-180191606975.6415,-4930510238.521423,-113867416328.11584,-46437581973.40767,-12667509170.87888
2024-12-27 05:17:30.395257,515006232153.07635,-402056022884.972,-87508124937.98303,-201060912266.48703,-38907383035.892235,-4605407621.923069,23122122136.064545
2024-12-30 05:17:30.395257,662977616854.1921,-448705366977.85284,-180511983668.8191,-81602163614.36557,38935592797.95173,-19048098497.829636,-21944882765.93166
2024-12-31 05:17:30.395257,-869181779019.5017,272310627054.5736,555683455352.6814,422373152773.9525,153647778176.21094,83504819310.57294,11800332634.629
2025-01-01 05:17:30.395257,-72261343562.26259,27549888576.393414,-4049167421.3801765,5798898474.7143135,-18242440204.668995,21239533374.110466,-9857328814.709656
2025-01-02 05:17:30.395257,769937544891.457,-495880084986.6489,-317313278686.77014,-83839929705.52696,-80925540953.27548,11935321936.301552,-34932236099.51276
2025-01-03 05:17:30.395257,-509225476803.239,301907217410.112,246763473630.9567,96329239168.53679,33270942165.322212,84492227816.70969,14791580001.443747
2025-01-06 05:17:30.395257,316865039727.68066,7289607181.599672,-366253094991.30664,-78817112976.22598,30586780179.780716,-129182862671.19116,14180914419.825878
2025-01-07 05:17:30.395257,-295285066024.36884,261603473212.5835,62659078501.42662,267485259462.781,31628588311.86299,-118297194969.88374,9594539387.391914
2025-01-08 05:17:30.395257,623921715223.7585,171519401804.71802,-587901037163.9327,-389024478342.32556,-96078125073.23308,-41469160012.62622,-34442121900.72239
2025-01-09 05:17:30.395257,1041828242581.0142,-556259957568.3158,-398455814669.5292,-283623740941.7947,-28176990232.31373,-128112307121.20042,-25759016111.787342
2025-01-10 05:17:30.395257,328659681178.4348,-420320405155.956,59058370760.73706,180773470168.2123,23751132103.47309,-2379514480.523617,-28310897635.896286
2025-01-13 05:17:30.395257,-336368066336.1967,234949484553.96808,221539973998.62314,290881198972.2451,31355887508.689476,-25274655203.17451,28739194242.874336
2025-01-14 05:17:30.395257,-260238403418.02432,168020381758.87802,51410484356.99115,-21439712101.132145,464604417.1493168,-82387449225.45232,1013780277.5935168
2025-01-15 05:17:30.395257,-23034987911.193176,-146082980890.12006,-34694484716.47216,-62835372539.469025,-10518959913.997631,21868963702.768578,-5344322507.636121
2025-01-16 05:17:30.395257,64958402788.89278,-75435925203.84656,-90331108676.78664,-82377126092.12271,-19927333560.849407,24408091713.61435,59345595923.057884
2025-01-17 05:17:30.395257,-249787993078.1407,506265398085.78326,-443556597110.22815,-400579009369.5646,-52329842240.19665,-95359009602.8702,-16202771688.197685
2025-01-20 05:17:30.395257,607622091290.8174,-426820177176.53564,-215953262518.4126,-221437152159.46735,-40593358213.31755,-161945103985.0074,-25833484127.824318
2025-01-21 05:17:30.395257,-4013305669.3152766,144046774876.2067,-138191631287.93625,-183329055447.96854,8993677603.191711,-48040967105.814575,-15436733488.507679
2025-01-22 05:17:30.395257,79572738237.80441,-229065674875.9509,317136667865.67474,113502244208.992,59391504567.70583,67160700449.97854,38825747577.218834
2025-01-23 05:17:30.395257,164884633728.6834,-235277383222.80557,103085486870.53842,58382803383.644936,24548856889.912216,-58482755408.12567,7419682554.28221
2025-01-24 05:17:30.395257,82517782293.72575,424484211434.208,-528912046608.8202,-293925754711.64,-205692443548.36945,-70168811002.36525,-55211161896.788345
2025-01-27 05:17:30.395257,-303621159684.52594,289336526984.4364,97225190818.4385,213385163772.4708,65261421898.81177,13818286164.115997,23245838232.425995
2025-01-28 05:17:30.395257,-390504584316.4427,284915737540.54913,-115524684124.89496,-169150214548.81607,-5780513030.079357,11635872361.320179,-19139115917.024628
2025-01-29 05:17:30.395257,-305794834264.5586,532432890167.2028,-203076600091.78763,-23413720207.4142,9285185474.625076,-24482471593.06048,27312125519.761524
2025-01-30 05:17:30.395257,1855658280.2100525,-108272025543.77374,183502886652.26038,88702847568.80533,-108112191579.23239,-21128014046.23872,30776105646.90599
2025-01-31 05:17:30.395257,-680893587663.9066,223735106337.13715,309299856748.7853,180633543084.02786,166278706588.79343,106223553595.54236,6518554924.26424
2025-02-03 05:17:30.395257,105833559143.09778,-270842190557.26443,279384035734.85956,235112370657.5761,48897325739.21323,33981126708.880436,39589529021.44524
2025-02-04 05:17:30.395257,237707966682.73987,47906931033.49306,-251765256966.79153,-263331356336.30478,5056089443.517517,-39130015520.51532,-11231152637.791512
2025-02-05 05:17:30.395257,228950126710.04608,-177715205344.76184,-92763712755.36436,-17417253034.81356,-70548038907.34943,-60577954866.96446,12417287864.67617
2025-02-06 05:17:30.395257,26512285804.31131,-62613128614.75201,99379029421.06918,76272638473.94711,50514501137.34232,-7257258146.415138,14663607816.942955
2025-02-07 05:17:30.395257,-253594221013.4223,187999968657.1541,292663538136.70776,224843249282.83957,5861929468.658745,-340604980.83888245,-2293956192.9820824
2025-02-10 05:17:30.395257,679095215487.6669,-517156318628.23047,-143752271353.58698,-57334498421.37037,-59938902305.50765,-30210143699.20919,-20058610214.02859
2025-02-11 05:17:30.395257,-859160476251.8656,939680227881.0443,-55697692999.145134,212111398191.60236,84562029093.51028,77230770057.2454,17814331701.665966
2025-02-12 05:17:30.395257,893953935909.5126,-607989533661.7285,-331900492201.8085,-262914293746.21667,-75914218478.52902,-118380130976.83908,-23290531252.22124
2025-02-13 05:17:30.395257,984420132533.6572,-710542582255.9352,-358861987224.20123,-268416887834.70248,-60900753785.85411,-134507367977.46725,-26016068626.049995
2025-02-14 05:17:30.395257,-637863893001.6082,477139727937.7734,243757746718.2594,83940595388.47919,92254935878.0896,110122178382.41933,-6914564251.074085
2025-02-17 05:17:30.395257,-787928596381.1494,295448205219.0158,406872008571.2469,188575493226.72266,106158496112.87961,50564617428.09373,28815581740.431564
2025-02-18 05:17:30.395257,-184449673617.3945,213209333813.4339,-21603036474.100155,-76700534615.11186,3200337962.3587894,-36694092404.110855,40170346561.15789
2025-02-19 05:17:30.395257,-565680361013.4236,216854746969.3047,301059869367.60724,299537574731.3195,78460023996.83273,97154214774.94492,-6297664816.705093
2025-02-20 05:17:30.395257,41316002096.83308,-101908827036.48413,108490807514.29024,207144909307.55963,141868940764.7718,-14007155859.699669,5908929509.169673
2025-02-21 05:17:30.395257,769782196216.3662,-542880059306.13416,-193535926381.53726,-173196185203.87,-41588125127.986725,62270096720.11621,18567614789.23172
2025-02-24 05:17:30.395257,50153340189.81255,-54818027416.54681,108418681652.52417,-18184348318.90837,31738688666.253212,50159095814.84207,3828106257.7119064
2025-02-25 05:17:30.395257,-82644014605.60806,-429768595219.65735,461410969939.7907,323988137602.5148,144814913788.33875,44816075083.683464,32117984421.984215
2025-02-26 05:17:30.395257,-414144376091.4341,397904694295.08246,-10747811732.98546,-61670991467.888405,53126734301.30209,106253238903.32736,-21785261149.58687
2025-02-27 05:17:30.395257,-405618172207.37854,-161651296115.054,469393096744.20184,344929039822.0722,153230134626.85938,40123218361.46336,32035796781.363068
2025-02-28 05:17:30.395257,1240832841929.7444,-499338636710.432,-785923531226.9233,-451261816651.02405,-125248195143.92545,-80783761083.57315,-43039061861.43714
2025-03-03 05:17:30.395257,36909690082.782585,-245750392090.86453,246570751312.56717,-3631960712.1829224,-7836095374.010742,51950241717.20967,32043137479.225616
2025-03-04 05:17:30.395257,-73356081730.16895,122940822923.25276,26114120471.451366,170418992415.87698,86894400709.34506,69004182540.65761,25053427054.86759
2025-03-05 05:17:30.395257,361340286288.7361,-363854613566.73834,-89702205139.76024,125766444225.69601,-75257710678.88644,64620229065.3786,47306162583.38426
2025-03-06 05:17:30.395257,551002326948.0735,-491569967898.1582,27528232960.65069,-44761929272.04822,20637419854.081802,5729442397.385934,12969075112.304047
2025-03-07 05:17:30.395257,688918057579.9409,42916402680.82204,-596270674380.2678,-396532560621.75916,-156967927377.02148,-127111494674.34935,-23297607387.370064
2025-03-10 05:17:30.395257,62156407134.58795,45088649539.03571,-65901566351.25358,-10954400738.26165,-16387230599.900345,13113372194.267786,592607713.9840412
2025-03-11 05:17:30.395257,409879466453.36487,-329333656651.08215,107133771453.52393,97725941870.81685,37864874805.87881,-17815702769.576717,-1706637283.53757
2025-03-12 05:17:30.395257,-210898478607.94196,-309848654724.8702,443368213422.45483,331875355320.7559,104741503457.00462,167174594389.69937,28938087540.356564
2025-03-13 05:17:30.395257,-12212438661.965256,43228033812.91776,-155481065482.0942,107731814587.37846,-10000175384.654606,-16495393268.177258,-13682081476.8853
2025-03-14 05:17:30.395257,859982594542.2825,-795306538564.754,-242548080867.9563,-163223571270.1787,32175947279.341095,-54648289695.798874,-8758184518.005531
2025-03-17 05:17:30.395257,1073595232178.8405,-773463687954.5612,-150527113075.36096,-170145992299.06195,-7428707539.373203,-13345051668.058722,18825595058.391144
